CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  432320 4323200ATIVO   MUNIC   Victor GVICTOR GRAEFF          4      43                N       N       N       N           1965                       1        -28,5602-52,7478     411 238,274
  432330 4323309ATIVO   MUNIC   Vila FloVILA FLORES            4      43                N       N       N       N           1989                       1         -28,863-51,5496     743 107,815
  432335 4323358ATIVO   MUNIC   Vila LanVILA LANGARO           4      43                N       N       N       N           1997                       1        -28,1074-52,1469     643 152,172
  432340 4323408ATIVO   MUNIC   Vila MarVILA MARIA             4      43                N       N       N       N           1989                       1        -28,5333-52,1635     455  181,44
  432345 4323457ATIVO   MUNIC   Vila NovVILA NOVA DO SUL       4      43                N       N       N       S           1993                       1         -30,334-53,8792     267 523,935
  432350 4323507ATIVO   MUNIC   Vista AlVISTA ALEGRE           4      43                N       N       N       S           1989                       1        -27,3701-53,4924     546  77,454
  432360 4323606ATIVO   MUNIC   Vista AlVISTA ALEGRE DO        4      43                N       N       N       N           1989                       1        -28,8095-51,7862     562 119,326
  432370 4323705ATIVO   MUNIC   Vista GaVISTA GAUCHA           4      43                N       N       N       S           1989                       1          -27,29-53,7013     497  88,719
  432375 4323754ATIVO   MUNIC   Vitoria VITORIA DAS MISS       4      43                N       N       N       S           1993                       1        -28,3524-54,4991     178 259,609
  432377 4323770ATIVO   MUNIC   WestfaliWESTFALIA              4      43                N       N       N       N           2001                       1        -29,4234-51,7662       0  63,702
  432380 4323804ATIVO   MUNIC   Xangri-LXANGRI-LA              4      43                N       N       N       N           1993                       1        -29,8054-50,0391       9   60,95
  500000 5000000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       5      500,509999    0,51N       N       N       N                                      8
  500020 5000203ATIVO   MUNIC   Agua ClaAGUA CLARA             5      50                N       N       N       N           1953                       1        -20,4489-52,8751     30311031,07
  500025 5000252ATIVO   MUNIC   AlcinopoALCINOPOLIS            5      50                N       N       N       N           1993                       1         -18,325-53,7081     4434399,676
  500060 5000609ATIVO   MUNIC   Amambai AMAMBAI                5      50                N       N       N       S           1948                       1        -23,1006-55,2438     4804202,298
  500070 5000708ATIVO   MUNIC   AnastaciANASTACIO              5      50                N       N       N       S           1964                       1        -20,4824-55,8046     1602949,206
  500080 5000807ATIVO   MUNIC   AnaurilaANAURILANDIA           5      50                N       N       N       N           1963                       1        -22,1827-52,7182     312 3395,54
  500085 5000856ATIVO   MUNIC   AngelicaANGELICA               5      50                N       N       N       N           1976                       1        -22,1561-53,7697     3581273,199
  500090 5000906ATIVO   MUNIC   Antonio ANTONIO JOAO           5      50                N       N       N       S           1964                       1        -22,1947-55,9481     681 1143,75
  500100 5001003ATIVO   MUNIC   AparecidAPARECIDA DO TAB       5      50                N       N       N       N           1948                       1         -20,085-51,0976     392 2750,13
  500110 5001102ATIVO   MUNIC   AquidauaAQUIDAUANA             5      50                N       N       N       S           1906                       1        -20,4747-55,7906     147 16958,5
  500124 5001243ATIVO   MUNIC   Aral MorARAL MOREIRA           5      50                N       N       N       S           1976                       1        -22,9479-55,6308     6091656,185
  500150 5001508ATIVO   MUNIC   BandeiraBANDEIRANTES           5      50                N       N       N       N           1963                       1        -19,9209-54,3632     6293115,514
  500190 5001904ATIVO   MUNIC   BataguasBATAGUASSU             5      50                N       N       N       N           1953                       1        -21,7153-52,4254     3292416,718
  500200 5002001ATIVO   MUNIC   BatayporBATAYPORA              5      50                N       N       N       N           1963                       1        -22,2959-53,2748     3341828,214
  500210 5002100ATIVO   MUNIC   Bela VisBELA VISTA             5      50                N       N       N       S           1908                       1         -22,116-56,5313     1804895,543
  500215 5002159ATIVO   MUNIC   BodoquenBODOQUENA              5      50                N       N       N       S           1980                       1        -20,5548-56,6736     1322507,244
  500220 5002209ATIVO   MUNIC   Bonito  BONITO                 5      50                N       N       N       S           1948                       1        -21,1243-56,4929     3154934,318
  500230 5002308ATIVO   MUNIC   BrasilanBRASILANDIA            5      50                N       N       N       N           1963                       1        -21,2471-52,0363     3435806,892
  500240 5002407ATIVO   MUNIC   Caarapo CAARAPO                5      50                N       N       N       S           1958                       1        -22,6366 -54,827     4712089,706
  500260 5002605ATIVO   MUNIC   Camapua CAMAPUA                5      50                N       N       N       N           1948                       1        -19,5353-54,0433     40910758,43
  500270 5002704ATIVO   MUNIC   Campo GrCAMPO GRANDE           5      50                S       N       N       N           1899                       1         -20,458-54,6157     5328096,051
  500280 5002803ATIVO   MUNIC   Caracol CARACOL                5      50                N       N       N       S           1963                       1        -22,0127-57,0259     2122938,675
  500290 5002902ATIVO   MUNIC   CassilanCASSILANDIA            5      50                N       N       N       N           1954                       1        -19,1094-51,7316     470 3649,83
  500295 5002951ATIVO   MUNIC   ChapadaoCHAPADAO DO SUL        5      50                N       N       N       N           1989                       1        -18,7978-52,6264     7903850,693
  500310 5003108ATIVO   MUNIC   CorguinhCORGUINHO              5      50                N       N       N       N           1953                       1        -19,8312  -54,83     3202640,814
  500315 5003157ATIVO   MUNIC   Coronel CORONEL SAPUCAIA       5      50                N       N       N       S           1987                       1        -23,2764-55,5413     5101028,898
  500320 5003207ATIVO   MUNIC   Corumba CORUMBA                5      50                N       N       N       S           1871                       1        -19,0064 -57,649     11864960,86
  500325 5003256ATIVO   MUNIC   Costa RiCOSTA RICA             5      50                N       N       N       N           1980                       1        -18,5435 -53,133     6415722,834
  500330 5003306ATIVO   MUNIC   Coxim   COXIM                  5      50                N       N       N       N           1898                       1        -18,5084-54,7581     2386411,552
  500345 5003454ATIVO   MUNIC   DeodapolDEODAPOLIS             5      50                N       N       N       S           1976                       1        -22,2729-54,1612     418 831,263
  500348 5003488ATIVO   MUNIC   Dois IrmDOIS IRMAOS DO B       5      50                N       N       N       S           1989                       1        -20,6923-55,2819     3202344,611
  500350 5003504ATIVO   MUNIC   DouradinDOURADINA              5      50                N       N       N       S           1980                       1        -22,0455-54,6079     553 280,689
  500370 5003702ATIVO   MUNIC   DouradosDOURADOS               5      50                N       N       N       S           1935                       1        -22,2272-54,8113     4304086,387
  500375 5003751ATIVO   MUNIC   EldoradoELDORADO               5      50                N       N       N       S           1976                       1        -23,7741  -54,28     3421017,788
  500380 5003801ATIVO   MUNIC   Fatima DFATIMA DO SUL          5      50                N       N       N       S           1963                       1        -22,3754-54,5164     352 315,237
  500390 5003900ATIVO   MUNIC   FigueiraFIGUEIRAO              5      50                N       N       N       N           2005                       1        -18,6754-53,6426
  500400 5004007ATIVO   MUNIC   Gloria DGLORIA DE DOURAD       5      50                N       N       N       S           1963                       1        -22,4144-54,2346     400 491,758
  500410 5004106ATIVO   MUNIC   Guia LopGUIA LOPES DA LA       5      50                N       N       N       S           1953                       1        -21,4525-56,1082     2721210,472
  500430 5004304ATIVO   MUNIC   IguatemiIGUATEMI               5      50                N       N       N       S           1963                       1        -23,6619-54,5586     3422946,677
  500440 5004403ATIVO   MUNIC   InocenciINOCENCIA              5      50                N       N       N       N           1958                       1        -19,7255-51,9277     5025776,261
  500450 5004502ATIVO   MUNIC   Itapora ITAPORA                5      50                N       N       N       S           1953                       1        -22,0824-54,7957     3901322,003
  500460 5004601ATIVO   MUNIC   ItaquiraITAQUIRAI              5      50                N       N       N       S           1980                       1        -23,4907-54,1882     3402063,876
  500470 5004700ATIVO   MUNIC   IvinhemaIVINHEMA               5      50                N       N       N       N           1963                       1        -22,3016 -53,827     3622009,887
  500480 5004809ATIVO   MUNIC   Japora  JAPORA                 5      50                N       N       N       S           1993                       1        -23,8941-54,4035     357 419,804
  500490 5004908ATIVO   MUNIC   JaraguarJARAGUARI              5      50                N       N       N       N           1953                       1        -20,1037-54,4407     589    2913
  500500 5005004ATIVO   MUNIC   Jardim  JARDIM                 5      50                N       N       N       S           1953                       1        -21,4796-56,1458     2592201,725
  500510 5005103ATIVO   MUNIC   Jatei   JATEI                  5      50                N       N       N       S           1963                       1        -22,4817-54,3081     3961927,966
  500515 5005152ATIVO   MUNIC   Juti    JUTI                   5      50                N       N       N       S           1989                       1        -22,8625-54,6013     3731584,599
  500520 5005202ATIVO   MUNIC   Ladario LADARIO                5      50                N       N       N       S           1953                       1        -19,0018-57,6024     114 342,509
  500525 5005251ATIVO   MUNIC   Laguna CLAGUNA CARAPA          5      50                N       N       N       S           1993                       1        -22,5506-55,1501     5091733,845
  500540 5005400ATIVO   MUNIC   MaracajuMARACAJU               5      50                N       N       N       S           1928                       1        -21,6236-55,1571     384 5298,84
  500560 5005608ATIVO   MUNIC   Miranda MIRANDA                5      50                N       N       N       S           1871                       1        -20,2393-56,3902     1255478,627
  500568 5005681ATIVO   MUNIC   Mundo NoMUNDO NOVO             5      50                N       N       N       S           1976                       1        -23,9353-54,2817     324 479,327
  500570 5005707ATIVO   MUNIC   Navirai NAVIRAI                5      50                N       N       N       S           1963                       1          -23,06-54,1988     3623193,839
  500580 5005806ATIVO   MUNIC   Nioaque NIOAQUE                5      50                N       N       N       S           1890                       1        -21,1582-55,8339     2003923,798
  500600 5006002ATIVO   MUNIC   Nova AlvNOVA ALVORADA DO       5      50                N       N       N       N           1993                       1        -21,4666-54,3828     4074019,209
  500620 5006200ATIVO   MUNIC   Nova AndNOVA ANDRADINA         5      50                N       N       N       N           1958                       1        -22,2488-53,3516     3804776,096
  500625 5006259ATIVO   MUNIC   Novo HorNOVO HORIZONTE D       5      50                N       N       N       S           1993                       1         -22,655-53,8609     320 849,117
  500627 5006275ATIVO   MUNIC   Paraiso PARAISO DAS AGUA       5      50                N       N               N           2013                       1        -19,0172-53,0119     6085061,433
  500630 5006309ATIVO   MUNIC   ParanaibPARANAIBA              5      50                N       N       N       N           1857                       1        -19,6774-51,1887     3745402,778
  500635 5006358ATIVO   MUNIC   ParanhosPARANHOS               5      50                N       N       N       S           1989                       1        -23,8969 -55,433     4291302,138
  500640 5006408ATIVO   MUNIC   Pedro GoPEDRO GOMES            5      50                N       N       N       N           1963                       1        -18,1019-54,5524     2823651,171
  500660 5006606ATIVO   MUNIC   Ponta PoPONTA PORA             5      50                N       N       N       S           1912                       1        -22,4862-55,7109     6555328,621
  500690 5006903ATIVO   MUNIC   Porto MuPORTO MURTINHO         5      50                N       N       N       S           1911                       1        -21,7073-57,8885      9017734,93
  500710 5007109ATIVO   MUNIC   Ribas DoRIBAS DO RIO PAR       5      50                N       N       N       N           1943                       1        -20,4437-53,7617     36917308,72
  500720 5007208ATIVO   MUNIC   Rio BrilRIO BRILHANTE          5      50                N       N       N       S           1929                       1        -21,8012-54,5422     3123987,529
  500730 5007307ATIVO   MUNIC   Rio NegrRIO NEGRO              5      50                N       N       N       N           1964                       1        -19,4474-54,9875     2791807,665
  500740 5007406ATIVO   MUNIC   Rio VerdRIO VERDE DE MAT       5      50                N       N       N       N           1953                       1        -18,9166-54,8423     3308151,975
  500750 5007505ATIVO   MUNIC   Rochedo ROCHEDO                5      50                N       N       N       N           1948                       1        -19,9619-54,8928     2601560,647
  500755 5007554ATIVO   MUNIC   Santa RiSANTA RITA DO PA       5      50                N       N       N       N           1989                       1        -21,3054-52,8281     3606141,615
  500769 5007695ATIVO   MUNIC   Sao GabrSAO GABRIEL DO O       5      50                N       N       N       N           1980                       1        -19,3955-54,5646     6583864,859
  500770 5007703ATIVO   MUNIC   Sete QueSETE QUEDAS            5      50                N       N       N       S           1980                       1        -23,9835-55,0533     407 825,925
  500780 5007802ATIVO   MUNIC   SelviriaSELVIRIA               5      50                N       N       N       N           1980                       1        -20,3667-51,4189     3573258,653
  500790 5007901ATIVO   MUNIC   SidrolanSIDROLANDIA            5      50                N       N       N       S           1953                       1        -20,9311 -54,966     484 5286,49
  500793 5007935ATIVO   MUNIC   Sonora  SONORA                 5      50                N       N       N       N           1989                       1        -17,5814-54,7549     4424075,437
  500795 5007950ATIVO   MUNIC   Tacuru  TACURU                 5      50                N       N       N       S           1980                       1        -23,6347-55,0203     3721785,315
  500797 5007976ATIVO   MUNIC   TaquarusTAQUARUSSU             5      50                N       N       N       S           1980                       1          -22,49-53,3519     2761041,121
  500800 5008008ATIVO   MUNIC   Terenos TERENOS                5      50                N       N       N       N           1953                       1        -20,4423-54,8656     437 2841,24
  500830 5008305ATIVO   MUNIC   Tres LagTRES LAGOAS            5      50                N       N       N       N           1915                       1        -20,7887  -51,71     31910206,37
  500840 5008404ATIVO   MUNIC   VicentinVICENTINA              5      50                N       N       N       S           1989                       1        -22,4018-54,4421     368 310,216
  510000  510000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       5      510,519999    0,52N       S       N       N                                      8
  510010 5100102ATIVO   MUNIC   AcorizalACORIZAL               5      51                N       S       N       N           1953                       1        -15,1979-56,3716     164 841,166
  510020 5100201ATIVO   MUNIC   Agua BoaAGUA BOA               5      51                N       S       N       N           1979                       1        -14,0491-52,1589     4007484,205
  510025 5100250ATIVO   MUNIC   Alta FloALTA FLORESTA          5      51                N       S       N       N           1979                       1        -9,87172-56,0916     2838947,069
  510030 5100300ATIVO   MUNIC   Alto AraALTO ARAGUAIA          5      51                N       S       N       N           1938                       1        -17,3156-53,2203     6925538,022
  510035 5100359ATIVO   MUNIC   Alto BoaALTO BOA VISTA         5      51                N       S       N       N           1993                       1        -11,6767-51,3793       02241,826
  510040 5100409ATIVO   MUNIC   Alto GarALTO GARCAS            5      51                N       S       N       N           1953                       1        -16,9467-53,5285     7543660,387
  510050 5100508ATIVO   MUNIC   Alto ParALTO PARAGUAI          5      51                N       S       N       N           1953                       1        -14,5147-56,4944     2382052,519
  510060 5100607ATIVO   MUNIC   Alto TaqALTO TAQUARI           5      51                N       S       N       N           1986                       1        -17,8347 -53,282     851 1394,76
  510080 5100805ATIVO   MUNIC   Apiacas APIACAS                5      51                N       S       N       N           1989                       1         -9,5655-57,3954     220 20364,2
  510100 5101001ATIVO   MUNIC   AraguaiaARAGUAIANA             5      51                N       S       N       N           1986                       1        -15,7312-51,8336     2696415,109
  510120 5101209ATIVO   MUNIC   AraguainARAGUAINHA             5      51                N       S       N       N           1963                       1        -16,8575-53,0356     462 688,676
  510125 5101258ATIVO   MUNIC   AraputanARAPUTANGA             5      51                N       S       N       S           1979                       1        -15,4681-58,3484     2001602,731
  510130 5101308ATIVO   MUNIC   ArenapolARENAPOLIS             5      51                N       S       N       N           1953                       1        -14,4555-56,8445     247 414,678
  510140 5101407ATIVO   MUNIC   AripuanaARIPUANA               5      51                N       S       N       N           1943                       1        -10,1725-59,4486     10525048,97
  510160 5101605ATIVO   MUNIC   Barao DeBARAO DE MELGACO       5      51                N       S       N       S           1953                       1        -16,1951-55,9671     15611182,85
  510170 5101704ATIVO   MUNIC   Barra DoBARRA DO BUGRES        5      51                N       S       N       S           1943                       1        -15,0663-57,1864     1717228,902
  510180 5101803ATIVO   MUNIC   Barra DoBARRA DO GARCAS        5      51                N       S       N       N           1914                       1        -15,8887-52,2603     3189141,841
  510183 5101837ATIVO   MUNIC   Boa EspeBOA ESPERANCA DO       5      51                N       S       N       N           2024                       1         13,5087-55,1533        903208,4
  510185 5101852ATIVO   MUNIC   Bom JesuBOM JESUS DO ARA       5      51                N       S       N       N           2001                       1        -12,1736-51,5036       04279,088
  510190 5101902ATIVO   MUNIC   BrasnortBRASNORTE              5      51                N       S       N       N           1989                       1        -12,1249-58,0027     31715959,33
  510250 5102504ATIVO   MUNIC   Caceres CACERES                5      51                N       S       N       S           1859                       1        -16,0741-57,6748     118 24398,4
  510260 5102603ATIVO   MUNIC   CampinapCAMPINAPOLIS           5      51                N       S       N       N           1986                       1        -14,5396-52,7975     4505970,464
  510263 5102637ATIVO   MUNIC   Campo NoCAMPO NOVO DO PA       5      51                N       S       N       N           1989                       1        -13,6547-57,8885     5729448,384
  510267 5102678ATIVO   MUNIC   Campo VeCAMPO VERDE            5      51                N       S       N       N           1989                       1        -15,5537-55,1717     7364794,555
  510268 5102686ATIVO   MUNIC   Campos DCAMPOS DE JULIO        5      51                N       S       N       S           1997                       1        -13,7199-59,2634       06804,577
  510269 5102694ATIVO   MUNIC   CanabravCANABRAVA DO NOR       5      51                N       S       N       N           1993                       1        -11,0462-51,8378     2253449,984
  510270 5102702ATIVO   MUNIC   CanaranaCANARANA               5      51                N       S       N       N           1979                       1        -13,5592-52,2735     42010834,33
  510279 5102793ATIVO   MUNIC   CarlindaCARLINDA               5      51                N       S       N       N           1997                       1        -9,96667-55,8216     2902417,212
  510285 5102850ATIVO   MUNIC   CastanheCASTANHEIRA            5      51                N       S       N       N           1989                       1        -11,1341-58,6134     4003948,861
  510300 5103007ATIVO   MUNIC   Chapada CHAPADA DOS GUIM       5      51                N       S       N       N           1953                       1        -15,4606 -55,745     8116206,573
  510305 5103056ATIVO   MUNIC   Claudia CLAUDIA                5      51                N       S       N       N           1989                       1        -11,5053-54,8742     3683820,948
  510310 5103106ATIVO   MUNIC   CocalinhCOCALINHO              5      51                N       S       N       N           1986                       1        -14,3904-51,0112     24116538,83
  510320 5103205ATIVO   MUNIC   Colider COLIDER                5      51                N       S       N       N           1979                       1        -10,8041-55,4642     2653038,249
  510325 5103254ATIVO   MUNIC   Colniza COLNIZA                5      51                N       S       N       N           2001                       1         -9,4579-59,2189       027947,65
  510330 5103304ATIVO   MUNIC   ComodoroCOMODORO               5      51                N       S       N       S           1986                       1        -13,6606-59,7904     60021743,36
  510335 5103353ATIVO   MUNIC   ConfresaCONFRESA               5      51                N       S       N       N           1993                       1        -10,6407 -51,571     2405796,382
  510336 5103361ATIVO   MUNIC   ConquistCONQUISTA D'OEST       5      51                N       S       N       S           2001                       1        -14,5363-59,5451       02698,008
  510337 5103379ATIVO   MUNIC   CotriguaCOTRIGUACU             5      51                N       S       N       N           1993                       1        -9,88625-58,6069     2009123,582
  510340 5103403ATIVO   MUNIC   Cuiaba  CUIABA                 5      51                S       S       N       N           1719                       1          -15,57-56,0733     1763538,167
  510343 5103437ATIVO   MUNIC   CurvelanCURVELANDIA            5      51                N       S       N       S           2001                       1        -15,6093-57,9171       0 748,363
  510345 5103452ATIVO   MUNIC   Denise  DENISE                 5      51                N       S       N       N           1982                       1        -14,7338-57,0538     2111300,924
  510350 5103502ATIVO   MUNIC   DiamantiDIAMANTINO             5      51                N       S       N       N           1906                       1        -14,4013-56,4336     2697630,212
  510360 5103601ATIVO   MUNIC   Dom AquiDOM AQUINO             5      51                N       S       N       N           1958                       1        -15,8075-54,9175     2832205,079
  510370 5103700ATIVO   MUNIC   Feliz NaFELIZ NATAL            5      51                N       S       N       N           1997                       1        -12,3832-54,9339     37011448,05
  510380 5103809ATIVO   MUNIC   FigueiroFIGUEIROPOLIS D'       5      51                N       S       N       S           1986                       1        -15,4461-58,7378     300 890,949
  510385 5103858ATIVO   MUNIC   Gaucha DGAUCHA DO NORTE        5      51                N       S       N       N           1997                       1         -13,188-53,2615       016898,57
  510390 5103908ATIVO   MUNIC   General GENERAL CARNEIRO       5      51                N       S       N       N           1963                       1         -15,707-52,7593     3433721,078
  510395 5103957ATIVO   MUNIC   Gloria DGLORIA D'OESTE         5      51                N       S       N       S           1993                       1         -15,768-58,3145       0 846,053
  510410 5104104ATIVO   MUNIC   GuarantaGUARANTA DO NORT       5      51                N       S       N       N           1986                       1        -9,95407-54,9161     3454713,043
  510420 5104203ATIVO   MUNIC   GuiratinGUIRATINGA             5      51                N       S       N       N           1943                       1        -16,3484 -53,761     5105358,322
  510450 5104500ATIVO   MUNIC   IndiavaiINDIAVAI               5      51                N       S       N       S           1986                       1        -15,4975 -58,574     215 600,326
  510452 5104526ATIVO   MUNIC   IpirangaIPIRANGA DO NORT       5      51                N       S       N       N           2005                       1        -12,2368-56,1598
  510454 5104542ATIVO   MUNIC   ItanhangITANHANGA              5      510,5104450,510445N       S       N       N           2005                       1        -12,2348-56,6493
  510455 5104559ATIVO   MUNIC   Itauba  ITAUBA                 5      51                N       S       N       N           1986                       1        -11,0077-55,2467     2404538,338
  510460 5104609ATIVO   MUNIC   ItiquiraITIQUIRA               5      51                N       S       N       N           1953                       1        -17,2068-54,1443     5228638,691
  510480 5104807ATIVO   MUNIC   Jaciara JACIARA                5      51                N       S       N       N           1958                       1        -15,9648-54,9642     367 1658,72
  510490 5104906ATIVO   MUNIC   Jangada JANGADA                5      51                N       S       N       N           1989                       1        -15,2397-56,4902     1781021,939
  510500 5105002ATIVO   MUNIC   Jauru   JAURU                  5      51                N       S       N       S           1979                       1        -15,3419-58,8798     405 1217,48
  510510 5105101ATIVO   MUNIC   Juara   JUARA                  5      51                N       S       N       N           1981                       1        -11,2504-57,5131     29221387,33
  510515 5105150ATIVO   MUNIC   Juina   JUINA                  5      51                N       S       N       N           1982                       1         -11,422-58,7622     44226251,28
  510517 5105176ATIVO   MUNIC   Juruena JURUENA                5      51                N       S       N       N           1989                       1        -10,3291-58,4963     3003190,476
  510520 5105200ATIVO   MUNIC   JuscimeiJUSCIMEIRA             5      51                N       S       N       N           1979                       1        -16,0447-54,8888     2512205,018
  510523 5105234ATIVO   MUNIC   Lambari LAMBARI D'OESTE        5      51                N       S       N       S           1993                       1        -15,3155-58,0058     1861337,245
  510525 5105259ATIVO   MUNIC   Lucas DoLUCAS DO RIO VER       5      51                N       S       N       N           1989                       1        -13,0705-55,9218     3903659,859
  510530 5105309ATIVO   MUNIC   Luciara LUCIARA                5      51                N       S       N       N           1963                       1        -11,2281-50,6632     1974145,262
  510550 5105507ATIVO   MUNIC   Vila BelVILA BELA DA SAN       5      51                N       S       N       S           1746                       1        -15,0093-59,9526     19813630,95
  510558 5105580ATIVO   MUNIC   MarcelanMARCELANDIA            5      51                N       S       N       N           1986                       1        -11,0806-54,5193     29012294,14
  510560 5105606ATIVO   MUNIC   Matupa  MATUPA                 5      51                N       S       N       N           1989                       1        -10,1721-54,9318     280 5151,85
  510562 5105622ATIVO   MUNIC   MirassolMIRASSOL D'OESTE       5      51                N       S       N       S           1976                       1        -15,6741-58,0979     2601072,537
  510590 5105903ATIVO   MUNIC   Nobres  NOBRES                 5      51                N       S       N       N           1963                       1        -14,7245-56,3341     2003859,509
  510600 5106000ATIVO   MUNIC   NortelanNORTELANDIA            5      51                N       S       N       N           1953                       1        -14,4537-56,8021     2441350,778
  510610 5106109ATIVO   MUNIC   Nossa SeNOSSA SENHORA DO       5      51                N       S       N       S           1883                       1        -15,7897-56,3453     2325192,568
  510615 5106158ATIVO   MUNIC   Nova BanNOVA BANDEIRANTE       5      51                N       S       N       N           1993                       1        -9,84295-57,8185     2009531,206
  510617 5106174ATIVO   MUNIC   Nova NazNOVA NAZARE            5      51                N       S       N       N           2001                       1        -13,9879-51,7974       04038,699
  510618 5106182ATIVO   MUNIC   Nova LacNOVA LACERDA           5      51                N       S       N       S           1997                       1        -14,4698-59,5903     1904734,162
  510619 5106190ATIVO   MUNIC   Nova SanNOVA SANTA HELEN       5      51                N       S       N       N           2001                       1         -10,851-55,1837       02627,835
  510620 5106208ATIVO   MUNIC   Nova BraNOVA BRASILANDIA       5      51                N       S       N       N           1979                       1        -14,9255-54,9719     5403266,215
  510621 5106216ATIVO   MUNIC   Nova CanNOVA CANAA DO NO       5      51                N       S       N       N           1986                       1        -10,6311-55,7149     3015968,991
  510622 5106224ATIVO   MUNIC   Nova MutNOVA MUTUM             5      51                N       S       N       N           1989                       1        -13,8327  -56,11     4609537,923
  510623 5106232ATIVO   MUNIC   Nova OliNOVA OLIMPIA           5      51                N       S       N       N           1986                       1        -14,7794-57,2829     2281567,669
  510624 5106240ATIVO   MUNIC   Nova UbiNOVA UBIRATA           5      51                N       S       N       N           1997                       1        -13,0338-55,2732     40012694,97
  510625 5106257ATIVO   MUNIC   Nova XavNOVA XAVANTINA         5      51                N       S       N       N           1980                       1        -14,6692-52,3612     2755526,733
  510626 5106265ATIVO   MUNIC   Novo MunNOVO MUNDO             5      51                N       S       N       N           1997                       1        -9,97711 -55,172     3305801,766
  510627 5106273ATIVO   MUNIC   Novo HorNOVO HORIZONTE D       5      51                N       S       N       N           1976                       1        -11,3876-57,3175     220 938,389
  510628 5106281ATIVO   MUNIC   Novo SaoNOVO SAO JOAQUIM       5      51                N       S       N       N           1986                       1        -14,8866-53,0161     4005022,477
  510629 5106299ATIVO   MUNIC   ParanaitPARANAITA              5      51                N       S       N       N           1987                       1        -9,66966-56,4789     2494830,143
  510630 5106307ATIVO   MUNIC   ParanatiPARANATINGA            5      51                N       S       N       N           1979                       1        -14,4277-54,0541     46024177,57
  510631 5106315ATIVO   MUNIC   Novo SanNOVO SANTO ANTON       5      51                N       S       N       N           2001                       1        -12,2947-50,9692       04368,459
  510637 5106372ATIVO   MUNIC   Pedra PrPEDRA PRETA            5      51                N       S       N       N           1976                       1        -16,6222-54,4714     2484193,207
  510642 5106422ATIVO   MUNIC   Peixoto PEIXOTO DE AZEVE       5      51                N       S       N       N           1986                       1        -10,2448-54,9923     34614398,66
  510645 5106455ATIVO   MUNIC   PlanaltoPLANALTO DA SERR       5      51                N       S       N       N           1993                       1        -14,6607-54,7835     3192454,108
  510650 5106505ATIVO   MUNIC   Pocone  POCONE                 5      51                N       S       N       S           1831                       1        -16,2595-56,6265     14217260,86
  510665 5106653ATIVO   MUNIC   Pontal DPONTAL DO ARAGUA       5      51                N       S       N       N           1993                       1        -15,9025-52,2585     3702755,095
  510670 5106703ATIVO   MUNIC   Ponte BrPONTE BRANCA           5      51                N       S       N       N           1953                       1        -16,7676-52,8358     424 687,812
  510675 5106752ATIVO   MUNIC   Pontes EPONTES E LACERDA       5      51                N       S       N       S           1979                       1        -15,2297 -59,338     2548423,347
  510677 5106778ATIVO   MUNIC   Porto AlPORTO ALEGRE DO        5      51                N       S       N       N           1986                       1        -10,8775-51,6309     2053977,416
  510680 5106802ATIVO   MUNIC   Porto DoPORTO DOS GAUCHO       5      51                N       S       N       N           1963                       1        -11,5338-57,4084     2597011,545
  510682 5106828ATIVO   MUNIC   Porto EsPORTO ESPERIDIAO       5      51                N       S       N       S           1986                       1        -15,8576-58,4693     1605815,306
  510685 5106851ATIVO   MUNIC   Porto EsPORTO ESTRELA          5      51                N       S       N       S           1993                       1        -15,3313-57,2014     1342065,241
  510700 5107008ATIVO   MUNIC   Poxoreo POXOREO                5      51                N       S       N       N           1938                       1        -15,8181-54,4007     3606923,227
  510704 5107040ATIVO   MUNIC   PrimaverPRIMAVERA DO LES       5      51                N       S       N       N           1987                       1        -15,5523-54,3001     4655472,207
  510706 5107065ATIVO   MUNIC   QuerenciQUERENCIA              5      51                N       S       N       N           1993                       1        -12,5923-52,2099       017850,25
  510710 5107107ATIVO   MUNIC   Sao JoseSAO JOSE DOS QUA       5      51                N       S       N       S           1979                       1        -15,6271-58,1765     2301280,846
  510715 5107156ATIVO   MUNIC   Reserva RESERVA DO CABAC       5      51                N       S       N       S           1986                       1        -15,1224-58,3854     335  370,82
  510718 5107180ATIVO   MUNIC   RibeiraoRIBEIRAO CASCALH       5      51                N       S       N       N           1989                       1         -12,932-51,8334     38611356,47
  510719 5107198ATIVO   MUNIC   RibeiraoRIBEIRAOZINHO          5      51                N       S       N       N           1993                       1        -16,4865-52,6954     477 623,453
  510720 5107206ATIVO   MUNIC   Rio BranRIO BRANCO             5      51                N       S       N       S           1979                       1        -15,2357-58,1179     180 501,496
  510724 5107248ATIVO   MUNIC   Santa CaSANTA CARMEM           5      51                N       S       N       N           1993                       1        -11,9697-55,2822     3863920,277
